Country,Jan2020_cases,Jan2020_deaths,Feb2020_cases,Feb2020_deaths,Mar2020_cases,Mar2020_deaths,Apr2020_cases,Apr2020_deaths,May2020_cases,May2020_deaths,Jun2020_cases,Jun2020_deaths,Jul2020_cases,Jul2020_deaths,Aug2020_cases,Aug2020_deaths,Sep2020_cases,Sep2020_deaths,Oct2020_cases,Oct2020_deaths,Nov2020_cases,Nov2020_deaths,Dec2020_cases,Dec2020_deaths,Jan2021_cases,Jan2021_deaths,Feb2021_cases,Feb2021_deaths,Mar2021_cases,Mar2021_deaths,Apr2021_cases,Apr2021_deaths,May2021_cases,May2021_deaths,Jun2021_cases,Jun2021_deaths,Jul2021_cases,Jul2021_deaths,Aug2021_cases,Aug2021_deaths,Sep2021_cases,Sep2021_deaths,Oct2021_cases,Oct2021_deaths,Nov2021_cases,Nov2021_deaths,Dec2021_cases,Dec2021_deaths,Jan2022_cases,Jan2022_deaths,Feb2022_cases,Feb2022_deaths,Mar2022_cases,Mar2022_deaths,Apr2022_cases,Apr2022_deaths,May2022_cases,May2022_deaths,Jun2022_cases,Jun2022_deaths,Jul2022_cases,Jul2022_deaths,Aug2022_cases,Aug2022_deaths,Sep2022_cases,Sep2022_deaths,Oct2022_cases,Oct2022_deaths,Nov2022_cases,Nov2022_deaths,Dec2022_cases,Dec2022_deaths,Jan2023_cases,Jan2023_deaths,Feb2023_cases,Feb2023_deaths,Mar2023_cases,Mar2023_deaths,Death_Rate
South Sudan,0,0,0,0,0,0,35,0,994,10,2007,38,2322,46,2527,47,2704,49,2905,58,3109,61,3558,63,3929,64,7926,93,10165,109,10583,115,10688,115,10834,117,11049,119,11436,120,12010,130,12361,133,12758,133,15242,135,16794,137,16973,137,17262,138,17461,138,17617,138,17722,138,17733,138,17823,138,17823,138,17823,138,18350,138,18368,138,18368,138,18368,138,18368,138,0.7513066202090593
Spain,0,0,45,0,95923,8464,213435,24543,239479,27127,249271,28355,288522,28445,462858,29094,769188,31791,1185678,35878,1648187,45069,1928265,50837,2743119,58319,3188553,69142,3284353,75459,3524077,78216,3678390,79953,3808960,80875,4447044,81486,4855065,84340,4959091,86415,5011148,87368,5164184,88052,6294745,89405,9961253,93225,10977524,99410,11508309,102218,11896152,104456,12326264,106341,12734038,107906,13226579,110719,13342530,112600,13422984,114179,13511768,115078,13595504,115901,13684258,117095,13731478,118434,13763336,119380,13770429,119479,0.8676490761471556
Sri Lanka,1,0,1,0,143,2,663,7,1633,10,2047,11,2815,11,3049,12,3380,13,10663,20,23987,118,43299,204,64157,316,83094,464,92706,568,108146,678,186364,1441,259089,3077,308812,4436,440302,9185,517377,12906,541073,13743,563989,14346,587245,14979,611185,15441,646034,16222,661631,16477,663362,16504,663834,16517,664123,16521,665739,16556,669957,16698,670773,16761,671087,16780,671682,16803,671891,16817,671989,16828,672030,16830,672039,16830,2.5043189457754687
Sudan,0,0,0,0,7,2,375,31,4800,286,9372,572,11579,746,13189,823,13646,836,13804,837,18045,1249,25500,1468,29380,1807,30347,1880,31833,2063,33944,2349,35495,2631,36658,2754,37138,2776,37709,2831,38283,2902,40433,3099,43084,3159,46518,3331,57632,3441,61458,3908,61955,4907,62117,4931,62355,4942,62624,4951,63006,4957,63228,4961,63285,4961,63481,4972,63637,4990,63686,4994,63742,5001,63787,5011,63829,5017,7.860063607451158
Summer Olympics 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,246,0,804,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,865,0,0.0
Suriname,0,0,0,0,9,0,10,1,23,1,515,13,1650,26,4034,71,4877,104,5203,111,5312,117,6210,122,8438,154,8929,172,9122,177,10363,204,14954,302,21732,522,25351,649,29293,721,41631,884,49019,1092,50848,1167,52446,1189,73769,1263,78216,1317,79221,1324,79336,1328,80547,1350,80864,1369,80966,1380,81039,1383,81106,1385,81185,1390,81581,1393,81581,1393,82020,1398,82227,1400,82467,1404,1.702499181490778
Sweden,0,0,14,0,4834,385,21601,2586,38661,4395,67924,5333,77076,5743,84379,5821,92863,5893,124355,5938,243129,6681,437379,8727,566957,11591,657309,12826,804886,13465,973604,14048,1068473,14451,1089990,14629,1100040,14655,1126813,14692,1152886,14864,1171512,15025,1204859,15151,1314784,15310,2070456,15855,2441142,17142,2487852,18365,2500917,18772,2507948,18977,2519199,19124,2539715,19358,2564423,19810,2588441,20225,2611580,20659,2626686,21034,2674862,21827,2693458,23279,2697827,23662,2699339,23777,0.880845273602167
Switzerland,0,0,18,0,16605,485,29586,1665,30862,1796,31714,1809,35232,1827,42177,1848,53282,1908,154251,2378,327072,5053,452296,7873,521320,9523,554932,10016,601124,10297,659974,10555,694740,10712,703004,10773,717665,10793,779666,10899,840363,11087,872558,11234,1014662,11522,1332615,12217,2220539,12708,2801951,13101,3497499,13564,3619598,13712,3674986,13800,3759730,13831,3949259,13891,4045011,13974,4103959,14009,4232022,14065,4337983,14137,4399516,14173,4407915,14244,4412439,14203,4413911,14210,0.3219367132685729
Syria,0,0,0,0,10,2,43,3,122,5,279,9,757,43,2765,112,4200,200,5728,288,7887,417,11434,711,14048,921,15588,1027,18909,1265,22733,1592,24495,1770,25515,1876,25963,1914,27915,2013,34205,2247,43146,2558,48170,2749,50278,2897,51402,2989,54575,3075,55695,3141,55813,3150,55892,3150,55927,3150,56275,3150,57043,3163,57302,3163,57360,3163,57399,3163,57423,3163,57453,3164,57467,3164,57467,3164,5.505768528024779
Taiwan*,10,0,39,1,322,5,429,6,442,7,447,7,467,7,488,7,514,7,555,7,675,7,799,7,911,8,955,9,1030,10,1128,12,8511,124,14804,648,15674,787,15995,835,16223,842,16412,847,16601,848,17029,850,18790,851,20489,853,23394,853,115883,865,2032983,2255,3767283,6651,4588185,8927,5308029,9914,6461400,11053,7712726,12831,8313366,14334,8847360,15253,9537823,16308,9970937,17672,9970937,17672,0.1772350983663822
Tajikistan,0,0,0,0,0,0,0,0,3807,47,5900,52,7366,60,8550,68,9726,75,10977,82,12155,86,13665,90,13714,91,13714,91,13714,91,13714,91,13714,91,13905,91,15482,122,17252,125,17484,125,17486,125,17493,125,17493,125,17706,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,17786,125,0.7027999550208028
Tanzania,0,0,0,0,19,1,480,16,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,509,21,1017,21,1367,50,25846,50,26154,725,26270,730,29306,737,33230,789,33620,798,33815,800,33872,803,35354,840,35768,841,37510,841,38712,841,39440,845,39920,845,40656,845,42351,845,42664,846,42823,846,42906,846,1.9717522024891625
Thailand,19,0,42,0,1651,10,2954,54,3081,57,3171,58,3310,58,3412,58,3564,59,3780,59,3998,60,6884,61,18782,77,25951,83,28863,94,65153,203,159792,1031,259301,2023,597287,4857,1204729,11589,1603474,16727,1912024,19205,2115872,20771,2223435,21698,2440542,22173,2891927,22933,3628347,25130,4250949,28526,4450457,30019,4522915,30648,4592284,31404,4652923,32328,4682132,32771,4692448,32955,4707244,33180,4721808,33594,4726984,33865,4728035,33911,4728182,33918,0.7173581727606932
Timor-Leste,0,0,0,0,1,0,24,0,24,0,24,0,24,0,27,0,28,0,30,0,30,0,44,0,70,0,113,0,604,0,2276,3,6994,16,9222,23,10898,26,16682,67,19498,117,19790,122,19823,122,19837,122,19946,122,22693,128,22830,130,22865,130,22915,131,22957,133,22999,133,23170,138,23257,138,23301,138,23343,138,23386,138,23415,138,23418,138,23419,138,0.5892651266066016
Togo,0,0,0,0,34,1,116,9,442,13,650,14,941,19,1400,28,1784,48,2331,57,2974,64,3633,68,5074,77,6901,84,10249,109,12967,123,13466,125,13917,129,15798,152,21261,185,25429,229,26079,242,26265,243,30163,248,36491,268,36798,272,36939,272,36985,273,37095,273,37403,275,38084,279,38491,282,39053,285,39299,290,39328,290,39343,290,39354,290,39377,290,39396,290,0.7361153416590517
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,355,0,6423,6,10196,11,11644,12,12301,12,12554,12,15235,12,16182,12,16182,12,16182,12,16211,12,16734,13,16801,13,16810,13,0.07733491969066032
Trinidad and Tobago,0,0,0,0,87,3,116,8,117,8,130,8,169,8,1759,22,4531,76,5692,108,6669,120,7150,127,7564,134,7713,139,8026,142,10824,169,23909,495,32793,847,38811,1070,44847,1291,50709,1482,57329,1696,71361,2158,91899,2869,111549,3404,127767,3628,137860,3750,147867,3829,161584,3917,167097,4011,171510,4053,179146,4144,183181,4207,184713,4249,185377,4267,186033,4283,187908,4326,189296,4347,189918,4355,2.2930949146473742
Tunisia,0,0,0,0,394,10,994,41,1077,48,1174,50,1535,50,3803,77,18413,265,59813,1317,96769,3260,139140,4676,208885,6754,233277,8001,254018,8812,309119,10722,345474,12654,420103,14959,589565,19686,664034,23451,707190,24890,712747,25241,717572,25373,726706,25569,909813,26288,998230,27784,1035884,28323,1040193,28550,1042872,28641,1052180,28691,1128693,29041,1143862,29234,1145686,29249,1146152,29257,1147072,29268,1147571,29284,1150356,29308,1150962,29331,1151126,29341,2.548895603087759
Turkey,0,0,0,0,13531,214,120204,3174,163942,4540,199906,5131,230873,5691,270133,6370,318663,8195,375367,10252,638847,13746,2208652,20881,2477463,25993,2701588,28569,3317182,31537,4820591,40131,5249404,47527,5425652,49732,5727045,51332,6388331,56710,7154070,64054,8032988,70611,8795588,76842,9482550,82361,11619882,87416,14089456,94445,14860560,98033,15032093,98771,15072747,98965,15123331,99032,15889495,99341,16671848,100400,16873793,101139,16919638,101203,16919638,101203,16919638,101203,17042722,101492,17042722,101492,17042722,101492,0.5955151999780316
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,20,0,20,0,23,0,2805,0,2805,0,2805,0,2805,0,2805,0,0.0
US,8,0,25,1,192079,5359,1081150,66638,1791547,107857,2648797,127432,4548497,153969,6046489,182794,7246200,205957,9176352,230545,13667915,270601,20219878,350604,26357107,446602,28764298,511827,30579485,548349,32468055,572156,33386447,590261,33782325,600689,35107404,609480,39395088,637765,43539596,696889,46053361,744886,48606339,779427,54907717,825468,75244152,888905,79181996,950322,80221585,983142,81466441,996086,84327544,1007077,87675415,1017377,91345425,1030088,94528255,1046240,96361580,1059507,97491766,1070376,98813321,1080466,100765333,1092764,102362870,1108688,103443455,1119917,103802702,1123836,1.0826654589395948
Uganda,0,0,0,0,44,0,83,0,417,0,889,0,1154,3,2972,32,8129,75,12495,111,20459,205,35216,251,39579,324,40357,334,40867,335,41866,342,47147,362,79977,1023,93927,2690,119915,3012,123572,3156,126171,3215,127550,3252,140737,3294,161839,3533,163307,3588,163905,3596,164084,3597,164366,3602,167719,3621,169230,3628,169396,3628,169396,3630,169473,3630,169733,3630,169985,3630,170400,3630,170504,3630,170544,3630,2.128482972136223
Ukraine,0,0,0,0,645,17,10406,261,23672,708,45254,1173,71404,1717,124132,2605,214446,4221,399330,7399,752343,12731,1086997,19281,1261546,23860,1395528,27404,1725029,34456,2124070,45923,2260899,52573,2300101,54581,2333409,55556,2384564,57004,2533301,59980,3058108,72073,3606622,91268,3847226,102088,4255206,106880,5066370,112902,5197694,114911,5233265,115361,5244223,115523,5287020,116364,5294643,116463,5329263,116591,5478025,117037,5601102,117881,5642645,118404,5662732,118689,5679371,118974,5693846,119149,5711929,119283,2.0883137728077505
